test,time_s,success,kp,ki,kd,forward_speed,max_accel,max_angular_vel,max_linear_vel,err_n,err_min,err_max,err_mean,err_abs_mean,err_std
baseline,162.4,True,1.4,0.01,1.2,1.0,0.8,1.5,1.0,65,-0.440,+0.980,+0.126,0.183,0.240
kp=0.8,167.4,True,0.8,0.01,1.2,1.0,0.8,1.5,1.0,65,-0.440,+0.970,+0.166,0.229,0.252
kp=1.0,165.0,True,1.0,0.01,1.2,1.0,0.8,1.5,1.0,65,-0.440,+1.000,+0.152,0.212,0.246
kp=1.8,160.0,True,1.8,0.01,1.2,1.0,0.8,1.5,1.0,63,-0.240,+0.970,+0.119,0.164,0.227
kp=2.2,154.9,True,2.2,0.01,1.2,1.0,0.8,1.5,1.0,63,-0.440,+0.980,+0.105,0.154,0.234
kd=0.5,159.6,True,1.4,0.01,0.5,1.0,0.8,1.5,1.0,67,-0.440,+0.980,+0.130,0.199,0.247
kd=0.8,159.3,True,1.4,0.01,0.8,1.0,0.8,1.5,1.0,66,-0.440,+0.980,+0.131,0.194,0.247
kd=1.6,158.9,True,1.4,0.01,1.6,1.0,0.8,1.5,1.0,63,-0.450,+0.990,+0.131,0.181,0.241
kd=2.0,157.8,True,1.4,0.01,2.0,1.0,0.8,1.5,1.0,63,-0.440,+1.000,+0.134,0.175,0.239
ki=0.0,162.6,True,1.4,0.0,1.2,1.0,0.8,1.5,1.0,64,-0.450,+0.980,+0.131,0.185,0.235
ki=0.05,157.2,True,1.4,0.05,1.2,1.0,0.8,1.5,1.0,63,-0.460,+0.980,+0.100,0.173,0.243
ki=0.1,155.7,True,1.4,0.1,1.2,1.0,0.8,1.5,1.0,64,-0.440,+0.980,+0.078,0.168,0.256
vel=0.5,FAIL,False,1.4,0.01,1.2,0.5,0.8,1.5,1.0,101,-0.240,+0.980,+0.102,0.130,0.216
vel=0.75,172.6,True,1.4,0.01,1.2,0.75,0.8,1.5,1.0,76,-0.290,+0.990,+0.121,0.158,0.221
vel=1.5,150.1,True,1.4,0.01,1.2,1.5,0.8,1.5,1.5,56,-0.310,+0.980,+0.161,0.206,0.250
accel=0.3,160.5,True,1.4,0.01,1.2,1.0,0.3,1.5,1.0,66,-0.220,+0.980,+0.150,0.186,0.237
accel=0.5,158.8,True,1.4,0.01,1.2,1.0,0.5,1.5,1.0,65,-0.250,+0.980,+0.140,0.181,0.233
accel=1.5,157.2,True,1.4,0.01,1.2,1.0,1.5,1.5,1.0,64,-0.330,+0.990,+0.121,0.180,0.232
accel=3.0,157.3,True,1.4,0.01,1.2,1.0,3.0,1.5,1.0,63,-0.370,+0.980,+0.121,0.181,0.236
ang_vel=0.8,162.2,True,1.4,0.01,1.2,1.0,0.8,0.8,1.0,69,-0.360,+0.980,+0.122,0.169,0.230
ang_vel=1.0,160.5,True,1.4,0.01,1.2,1.0,0.8,1.0,1.0,67,-0.450,+0.990,+0.119,0.173,0.231
ang_vel=2.0,159.4,True,1.4,0.01,1.2,1.0,0.8,2.0,1.0,63,-0.300,+0.990,+0.136,0.187,0.239
ang_vel=3.0,160.7,True,1.4,0.01,1.2,1.0,0.8,3.0,1.0,64,-0.440,+0.990,+0.147,0.206,0.263
