shape,size,dim,mass_est,footprint,time_s,success,err_n,err_min,err_max,err_mean,err_abs_mean,err_std
cylinder,small,0.20,0.080,r=0.10,158.6,True,65,-0.290,+0.970,+0.128,0.181,0.230
cylinder,medium,0.35,0.245,r=0.17,152.5,True,66,-0.330,+0.960,+0.131,0.182,0.218
cylinder,large,0.50,0.500,r=0.25,154.6,True,67,-0.330,+0.960,+0.135,0.192,0.231
square,small,0.20,0.080,0.20x0.20,158.6,True,66,-0.310,+0.980,+0.126,0.182,0.233
square,medium,0.35,0.245,0.35x0.35,153.9,True,66,-0.330,+0.990,+0.126,0.179,0.216
square,large,0.50,0.500,0.50x0.50,156.2,True,68,-0.340,+1.000,+0.140,0.195,0.239
rectangle,small,0.20,0.080,0.20x0.10,154.5,True,67,-0.350,+0.570,+0.092,0.160,0.171
rectangle,medium,0.35,0.245,0.35x0.17,157.8,True,63,-0.320,+0.980,+0.124,0.170,0.210
rectangle,large,0.50,0.500,0.50x0.25,153.1,True,63,-0.320,+0.580,+0.099,0.150,0.161
triangle,small,0.20,0.080,side=0.20,151.0,True,65,-0.330,+0.590,+0.093,0.152,0.161
triangle,medium,0.35,0.245,side=0.35,154.8,True,63,-0.430,+0.580,+0.082,0.149,0.165
triangle,large,0.50,0.500,side=0.50,153.6,True,68,-0.320,+0.970,+0.144,0.195,0.232
